 saioa_id ;    eguna    ; ordutegia ; filma_id ; aretoa_id ; zinema_id 
1; 2024-02-15  ;  13:00:00 ;1;1;1
2; 2024-02-15  ;  15:30:00 ;2;2;2
3; 2024-02-15  ;  18:00:00 ;3;3;3
4; 2024-02-15;  13:30:00 ;4;4;4
5; 2024-02-15;  16:00:00 ;5;5;5
6; 2024-02-15;  19:00:00 ;6;6;1
7; 2024-02-15;  14:00:00 ;7;7;2
8; 2024-02-15;  17:30:00 ;8;8;3
9; 2024-02-15;  20:00:00 ;9;9;4
10; 2024-02-15;  12:45:00 ;10;10;5
11; 2024-02-15;  15:15:00 ;11;11;1
12; 2024-02-15;  17:45:00 ;12;12;2
13; 2024-02-15;  11:30:00 ;13;13;3
14; 2024-02-15;  14:00:00 ;14;14;4
15; 2024-02-15;  16:30:00 ;15;15;5
16; 2024-02-15;  10:00:00 ;16;16;1
17; 2024-02-15;  12:15:00 ;1;17;2
18; 2024-02-15;  15:00:00 ;2;18;3
19; 2024-02-15;  13:45:00 ;3;19;4
20; 2024-02-15;  16:00:00 ;4;20;5
21; 2024-02-15;  18:45:00 ;5;21;1
22; 2024-02-15;  12:30:00 ;6;22;2
23; 2024-02-15;  15:00:00 ;7;23;3
24; 2024-02-15;  17:30:00 ;8;24;4
25; 2024-02-15;  14:15:00 ;9;25;5
26; 2024-02-15;  16:45:00 ;10;1;1
27; 2024-02-15;  19:00:00 ;11;2;2
28; 2024-02-15;  11:00:00 ;12;3;3
29; 2024-02-15;  13:30:00 ;13;4;4
30; 2024-02-15;  16:15:00 ;14;5;5
31; 2024-02-15;  12:00:00 ;15;6;1
32; 2024-02-15;  14:30:00 ;16;7;2
33; 2024-02-15;  17:00:00 ;1;8;3
34; 2024-02-15;  13:15:00 ;2;9;4
35; 2024-02-15;  15:45:00 ;3;10;5
36; 2024-02-15;  18:30:00 ;4;11;1
37; 2024-02-15;  10:30:00 ;5;12;2
38; 2024-02-15;  13:00:00 ;6;13;3
39; 2024-02-15;  15:45:00 ;7;14;4
40; 2024-02-15;  11:00:00 ;8;15;5
41; 2024-02-15;  14:00:00 ;9;16;1
42; 2024-02-15;  16:30:00 ;10;17;2
43; 2024-02-15;  12:15:00 ;11;18;3
44; 2024-02-15;  14:45:00 ;12;19;4
45; 2024-02-15;  17:00:00 ;13;20;5
46; 2024-02-15;  10:45:00 ;14;21;1
47; 2024-02-15;  13:30:00 ;15;22;2
48; 2024-02-15;  16:15:00 ;16;23;3
49; 2024-02-15;  12:00:00 ;1;24;4
50; 2024-02-15;  14:30:00 ;2;25;5
51; 2024-02-15;  17:00:00 ;3;1;1
52; 2024-02-15;  13:15:00 ;4;2;2
53; 2024-02-15;  15:45:00 ;5;3;3
54; 2024-02-15;  18:30:00 ;6;4;4
55; 2024-02-15;  10:30:00 ;7;5;5
56; 2024-02-15;  13:00:00 ;8;6;1
57; 2024-02-15;  15:45:00 ;9;7;2
58; 2024-02-15;  11:00:00 ;10;8;3
59; 2024-02-15;  14:00:00 ;11;9;4
60; 2024-02-15;  16:30:00 ;12;10;5
61; 2024-02-15;  12:15:00 ;13;11;1
62; 2024-02-15;  14:45:00 ;14;12;2
63; 2024-02-15;  17:00:00 ;15;13;3
64; 2024-02-15;  10:45:00 ;16;14;4
65; 2024-02-15;  13:30:00 ;1;15;5
66; 2024-02-15;  16:15:00 ;2;16;1
67; 2024-02-15;  12:00:00 ;3;17;2
68; 2024-02-15;  14:30:00 ;4;18;3
69; 2024-02-15;  17:00:00 ;5;19;4
70; 2024-02-15;  11:15:00 ;6;20;5
71; 2024-02-15;  13:45:00 ;7;21;1
72; 2024-02-15;  16:30:00 ;8;22;2
73; 2024-02-15;  12:15:00 ;9;23;3
74; 2024-02-15;  14:45:00 ;10;24;4
75; 2024-02-15;  17:00:00 ;11;25;5
76; 2024-02-16;  11:00:00 ;12;1;1
77; 2024-02-16;  13:30:00 ;13;2;2
78; 2024-02-16;  16:15:00 ;14;3;3
79; 2024-02-16;  12:00:00 ;15;4;4
80; 2024-02-16;  14:30:00 ;16;5;5
81; 2024-02-16;  17:00:00 ;1;6;1
82; 2024-02-16;  11:15:00 ;2;7;2
83; 2024-02-16;  13:45:00 ;3;8;3
84; 2024-02-16;  16:30:00 ;4;9;4
85; 2024-02-16;  12:15:00 ;5;10;5
86; 2024-02-16;  14:45:00 ;6;11;1
87; 2024-02-16;  17:00:00 ;7;12;2
88; 2024-02-16;  11:00:00 ;8;13;3
89; 2024-02-16;  13:30:00 ;9;14;4
90; 2024-02-16;  16:15:00 ;10;15;5
91; 2024-02-16;  12:00:00 ;11;16;1
92; 2024-02-16;  14:30:00 ;12;17;2
93; 2024-02-16;  17:00:00 ;13;18;3
94; 2024-02-16;  10:45:00 ;14;19;4
95; 2024-02-16;  13:30:00 ;15;20;5
96; 2024-02-16;  16:15:00 ;16;21;1
97; 2024-02-16;  12:00:00 ;1;22;2
98; 2024-02-16;  14:30:00 ;2;23;3
99; 2024-02-16;  17:00:00 ;3;24;4
100; 2024-02-16;  11:15:00 ;4;25;5
101; 2024-02-16;  13:45:00 ;5;1;1
102; 2024-02-16;  16:30:00 ;6;2;2
103; 2024-02-16;  12:15:00 ;7;3;3
104; 2024-02-16;  14:45:00 ;8;4;4
105; 2024-02-16;  17:00:00 ;9;5;5
106; 2024-02-16;  11:00:00 ;10;6;1
107; 2024-02-16;  13:30:00 ;11;7;2
108; 2024-02-16;  16:15:00 ;12;8;3
109; 2024-02-16;  12:00:00 ;13;9;4
110; 2024-02-16;  14:30:00 ;14;10;5
111; 2024-02-16;  17:00:00 ;15;11;1
112; 2024-02-16;  11:15:00 ;16;12;2
113; 2024-02-16;  13:45:00 ;1;13;3
114; 2024-02-16;  16:30:00 ;2;14;4
115; 2024-02-16;  12:15:00 ;3;15;5
116; 2024-02-16;  14:45:00 ;4;16;1
117; 2024-02-16;  17:00:00 ;5;17;2
118; 2024-02-16;  11:00:00 ;6;18;3
119; 2024-02-16;  13:30:00 ;7;19;4
120; 2024-02-16;  16:15:00 ;8;20;5
121; 2024-02-16;  12:00:00 ;9;21;1
122; 2024-02-16;  14:30:00 ;10;22;2
123; 2024-02-16;  17:00:00 ;11;23;3
124; 2024-02-16;  10:45:00 ;12;24;4
125; 2024-02-16;  13:30:00 ;13;25;5
126; 2024-02-16;  16:15:00 ;14;1;1
127; 2024-02-16;  12:00:00 ;15;2;2
128; 2024-02-16;  14:30:00 ;16;3;3
